Date,Day,Whiskey
10/21/21,Thursday,Eagle Rare
10/22/21,Friday,Blantons
10/23/21,Saturday,EH Taylor
10/24/21,Sunday,Weller
10/25/21,Monday,Eagle Rare
10/26/21,Tuesday,Sazerac
10/27/21,Wednesday,Eagle Rare
10/28/21,Thursday,EH Taylor
10/29/21,Friday,Weller
10/30/21,Saturday,Blantons
10/31/21,Sunday,Eagle Rare
11/01/21,Monday,Blantons
11/02/21,Tuesday,Sazerac
11/03/21,Wednesday,Weller
11/04/21,Thursday,EH Taylor
11/05/21,Friday,Blantons
11/06/21,Saturday,Eagle Rare
11/07/21,Sunday,Sazerac
11/08/21,Monday,Weller
11/09/21,Tuesday,Blantons
11/10/21,Wednesday,EH Taylor
11/11/21,Thursday,Blantons
11/12/21,Friday,Eagle Rare
11/13/21,Saturday,Sazerac
11/14/21,Sunday,Weller
11/15/21,Monday,EH Taylor
11/16/21,Tuesday,Weller
11/17/21,Wednesday,Blantons
11/18/21,Thursday,Eagle Rare
11/19/21,Friday,Blantons
11/20/21,Saturday,Weller
11/21/21,Sunday,Sazerac
11/22/21,Monday,Eagle Rare
11/23/21,Tuesday,Weller
11/24/21,Wednesday,Eagle Rare
11/25/21,Thursday,CLOSED
11/26/21,Friday,Blantons
11/27/21,Saturday,EH Taylor
11/28/21,Sunday,Sazerac
11/29/21,Monday,Eagle Rare
11/30/21,Tuesday,EH Taylor
12/01/21,Wednesday,Sazerac
12/02/21,Thursday,Eagle Rare
12/03/21,Friday,Blantons
12/04/21,Saturday,Weller
12/05/21,Sunday,EH Taylor
12/06/21,Monday,Blantons
12/07/21,Tuesday,Weller
12/08/21,Wednesday,Eagle Rare
12/09/21,Thursday,Blantons
12/10/21,Friday,Sazerac
12/11/21,Saturday,EH Taylor
12/12/21,Sunday,Eagle Rare
12/13/21,Monday,Eagle Rare
12/14/21,Tuesday,Blantons
12/15/21,Wednesday,Weller
12/16/21,Thursday,Sazerac
12/17/21,Friday,EH Taylor
12/18/21,Saturday,Eagle Rare
12/19/21,Sunday,Blantons
12/20/21,Monday,Eagle Rare
12/21/21,Tuesday,Sazerac
12/22/21,Wednesday,Blantons
12/23/21,Thursday,Weller
12/24/21,Friday,EH Taylor
12/25/21,Saturday,CLOSED
12/26/21,Sunday,Sazerac
12/27/21,Monday,Blantons
12/28/21,Tuesday,Weller
12/29/21,Wednesday,EH Taylor
12/30/21,Thursday,Blantons
12/31/21,Friday,Eagle Rare
01/01/22,Saturday,CLOSED
01/02/22,Sunday,EH Taylor
01/03/22,Monday,Eagle Rare
01/04/22,Tuesday,Sazerac
01/05/22,Wednesday,Eagle Rare
01/06/22,Thursday,Weller
01/07/22,Friday,Blantons
01/08/22,Saturday,EH Taylor
01/09/22,Sunday,Sazerac
01/10/22,Monday,Weller
01/11/22,Tuesday,Eagle Rare
01/12/22,Wednesday,Sazerac
01/13/22,Thursday,Blantons
01/14/22,Friday,EH Taylor
01/15/22,Saturday,Sazerac
01/16/22,Sunday,Eagle Rare
01/17/22,Monday,Sazerac
01/18/22,Tuesday,Eagle Rare
01/19/22,Wednesday,Weller
01/20/22,Thursday,Sazerac
01/21/22,Friday,EH Taylor
01/22/22,Saturday,Blantons
01/23/22,Sunday,Weller
01/24/22,Monday,EH Taylor
01/25/22,Tuesday,Weller
01/26/22,Wednesday,EH Taylor
01/27/22,Thursday,Blantons
01/28/22,Friday,Sazerac
01/29/22,Saturday,Eagle Rare
01/30/22,Sunday,Blantons
01/31/22,Monday,Sazerac
02/01/22,Tuesday,Weller
02/02/22,Wednesday,Eagle Rare
02/03/22,Thursday,Weller
02/04/22,Friday,CLOSED
02/05/22,Saturday,EH Taylor
02/06/22,Sunday,Blantons
02/07/22,Monday,Eagle Rare
02/08/22,Tuesday,Blantons
02/09/22,Wednesday,Weller
02/10/22,Thursday,Sazerac
02/11/22,Friday,Eagle Rare
02/12/22,Saturday,EH Taylor
02/13/22,Sunday,Weller
02/14/22,Monday,Sazerac
02/15/22,Tuesday,Weller
02/16/22,Wednesday,Eagle Rare
02/17/22,Thursday,Sazerac
02/18/22,Friday,Blantons
02/19/22,Saturday,EH Taylor
02/20/22,Sunday,Eagle Rare
02/21/22,Monday,Weller
02/22/22,Tuesday,Eagle Rare
02/23/22,Wednesday,Blantons
02/24/22,Thursday,Eagle Rare
02/25/22,Friday,EH Taylor
02/26/22,Saturday,Blantons
02/27/22,Sunday,Eagle Rare
02/28/22,Monday,Sazerac
03/01/22,Tuesday,Weller
03/02/22,Wednesday,Blantons
03/03/22,Thursday,EH Taylor
03/04/22,Friday,Weller
03/05/22,Saturday,EH Taylor
03/06/22,Sunday,Eagle Rare
03/07/22,Monday,Blantons
03/08/22,Tuesday,EH Taylor
03/09/22,Wednesday,Sazerac
03/10/22,Thursday,Blantons
03/11/22,Friday,Weller
03/12/22,Saturday,Eagle Rare
03/13/22,Sunday,EH Taylor
03/14/22,Monday,Eagle Rare
03/15/22,Tuesday,Blantons
03/16/22,Wednesday,EH Taylor
03/17/22,Thursday,Weller
03/18/22,Friday,Blantons
03/19/22,Saturday,Sazerac
03/20/22,Sunday,Eagle Rare
03/21/22,Monday,EH Taylor
03/22/22,Tuesday,Sazerac
03/23/22,Wednesday,Weller
03/24/22,Thursday,Blantons
03/25/22,Friday,Eagle Rare
03/26/22,Saturday,EH Taylor
03/27/22,Sunday,Sazerac
03/28/22,Monday,Eagle Rare
03/29/22,Tuesday,EH Taylor
03/30/22,Wednesday,Blantons
03/31/22,Thursday,EH Taylor
04/01/22,Friday,Weller
04/02/22,Saturday,Blantons
04/03/22,Sunday,Eagle Rare
04/04/22,Monday,Eagle Rare
04/05/22,Tuesday,Weller
04/06/22,Wednesday,Blantons
04/07/22,Thursday,Weller
04/08/22,Friday,EH Taylor
04/09/22,Saturday,Blantons
04/10/22,Sunday,Eagle Rare
04/11/22,Monday,Weller
04/12/22,Tuesday,Sazerac
04/13/22,Wednesday,Eagle Rare
04/14/22,Thursday,Weller
04/15/22,Friday,Blantons
04/16/22,Saturday,EH Taylor
04/17/22,Sunday,CLOSED
04/18/22,Monday,Sazerac
04/19/22,Tuesday,Weller
04/20/22,Wednesday,Blantons
04/21/22,Thursday,Eagle Rare
04/22/22,Friday,Blantons
04/23/22,Saturday,EH Taylor
04/24/22,Sunday,Weller
04/25/22,Monday,EH Taylor
04/26/22,Tuesday,Blantons
04/27/22,Wednesday,Eagle Rare
04/28/22,Thursday,EH Taylor
04/29/22,Friday,Weller
04/30/22,Saturday,Eagle Rare
05/01/22,Sunday,Blantons
05/02/22,Monday,Eagle Rare
05/03/22,Tuesday,Weller
05/04/22,Wednesday,Blantons
05/05/22,Thursday,Weller
05/06/22,Friday,Blantons
05/07/22,Saturday,EH Taylor
05/08/22,Sunday,Blantons
05/09/22,Monday,Weller
05/10/22,Tuesday,Blantons
05/11/22,Wednesday,Eagle Rare
05/12/22,Thursday,Blantons
05/13/22,Friday,EH Taylor
05/14/22,Saturday,Blantons
05/15/22,Sunday,Sazerac
05/16/22,Monday,Eagle Rare
05/17/22,Tuesday,Blantons
05/18/22,Wednesday,Sazerac
05/19/22,Thursday,Blantons
05/20/22,Friday,Weller
05/21/22,Saturday,EH Taylor
05/22/22,Sunday,Eagle Rare
05/23/22,Monday,Blantons
05/24/22,Tuesday,Eagle Rare
05/25/22,Wednesday,Weller
05/26/22,Thursday,Blantons
05/27/22,Friday,EH Taylor
05/28/22,Saturday,Eagle Rare
05/29/22,Sunday,Weller
05/30/22,Monday,EH Taylor
05/31/22,Tuesday,Eagle Rare
06/01/22,Wednesday,Blantons
06/02/22,Thursday,EH Taylor
06/03/22,Friday,Weller
06/04/22,Saturday,EH Taylor
06/05/22,Sunday,Eagle Rare
06/06/22,Monday,Blantons
06/07/22,Tuesday,Weller
06/08/22,Wednesday,Eagle Rare
06/09/22,Thursday,Blantons
06/10/22,Friday,EH Taylor
06/11/22,Saturday,Blantons
06/12/22,Sunday,Sazerac
06/13/22,Monday,Eagle Rare
06/14/22,Tuesday,Blantons
06/15/22,Wednesday,EH Taylor
06/16/22,Thursday,Blantons
06/17/22,Friday,Weller
06/18/22,Saturday,EH Taylor
06/19/22,Sunday,Sazerac
06/20/22,Monday,Weller
06/21/22,Tuesday,Blantons
06/22/22,Wednesday,Eagle Rare
06/23/22,Thursday,EH Taylor
06/24/22,Friday,Blantons
06/25/22,Saturday,Eagle Rare
06/26/22,Sunday,EH Taylor
06/27/22,Monday,Blantons
06/28/22,Tuesday,Eagle Rare
06/29/22,Wednesday,Blantons
06/30/22,Thursday,Weller
07/01/22,Friday,Eagle Rare
07/02/22,Saturday,EH Taylor
07/03/22,Sunday,Blantons
07/04/22,Monday,CLOSED
07/05/22,Tuesday,Weller
07/06/22,Wednesday,Blantons
07/07/22,Thursday,Weller
07/08/22,Friday,EH Taylor
07/09/22,Saturday,Eagle Rare
07/10/22,Sunday,Blantons
07/11/22,Monday,EH Taylor
07/12/22,Tuesday,Blantons
07/13/22,Wednesday,Eagle Rare
07/14/22,Thursday,EH Taylor
07/15/22,Friday,Blantons
07/16/22,Saturday,Weller
07/17/22,Sunday,Eagle Rare
07/18/22,Monday,Weller
07/19/22,Tuesday,Eagle Rare
07/20/22,Wednesday,Blantons
07/21/22,Thursday,Eagle Rare
07/22/22,Friday,Blantons
07/23/22,Saturday,EH Taylor
07/24/22,Sunday,Weller
07/25/22,Monday,Blantons
07/26/22,Tuesday,Weller
07/27/22,Wednesday,Sazerac
07/28/22,Thursday,Blantons
07/29/22,Friday,EH Taylor
07/30/22,Saturday,Eagle Rare
07/31/22,Sunday,Blantons
08/01/22,Monday,EH Taylor
08/02/22,Tuesday,Eagle Rare
08/03/22,Wednesday,Weller
08/04/22,Thursday,Eagle Rare
08/05/22,Friday,Blantons
08/06/22,Saturday,Sazerac
08/07/22,Sunday,EH Taylor
08/08/22,Monday,Eagle Rare
08/09/22,Tuesday,Blantons
08/10/22,Wednesday,EH Taylor
08/11/22,Thursday,Weller
08/12/22,Friday,Blantons
08/13/22,Saturday,Eagle Rare
08/14/22,Sunday,EH Taylor
08/15/22,Monday,Eagle Rare
08/16/22,Tuesday,Blantons
08/17/22,Wednesday,Eagle Rare
08/18/22,Thursday,Blantons
08/19/22,Friday,EH Taylor
08/20/22,Saturday,Weller
08/21/22,Sunday,Blantons
08/22/22,Monday,EH Taylor
08/23/22,Tuesday,Weller
08/24/22,Wednesday,Eagle Rare
08/25/22,Thursday,EH Taylor
08/26/22,Friday,Eagle Rare
08/27/22,Saturday,Weller
